INFO:root:开始时间:2016-07-27 10:36:42
INFO:root:delete complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS6 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS7 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS8 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS9 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS10 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS2 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS3 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS50 complaint!
INFO:root:GIS_ZNGH_POINTS complaint!
INFO:root:GIS_ZNGH_SF_BUILDING_REGION complaint!
INFO:root:GIS_ZNGH_SF_POINTS complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER10 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER2 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER3 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER50 complaint!
INFO:root:结束时间:2016-07-27 10:41:32
INFO:root:开始时间:2016-07-28 18:17:43
INFO:root:delete complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS6 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS7 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS8 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS9 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS10 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS2 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS3 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS50 complaint!
INFO:root:GIS_ZNGH_POINTS complaint!
INFO:root:GIS_ZNGH_SF_BUILDING_REGION complaint!
INFO:root:GIS_ZNGH_SF_POINTS complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER10 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER2 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER3 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER50 complaint!
INFO:root:结束时间:2016-07-28 18:23:26
INFO:root:开始时间:2016-08-01 15:23:07
INFO:root:delete complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS6 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS7 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS8 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS9 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS10 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS2 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS3 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS50 complaint!
INFO:root:GIS_ZNGH_POINTS complaint!
INFO:root:GIS_ZNGH_SF_BUILDING_REGION complaint!
INFO:root:GIS_ZNGH_SF_POINTS complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER10 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER2 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER3 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER50 complaint!
INFO:root:结束时间:2016-08-01 15:28:34
INFO:root:开始时间:2016-08-03 14:34:37
INFO:root:delete complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS6 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS7 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS8 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS9 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS10 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS2 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS3 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS50 complaint!
INFO:root:GIS_ZNGH_POINTS complaint!
INFO:root:GIS_ZNGH_SF_BUILDING_REGION complaint!
INFO:root:GIS_ZNGH_SF_POINTS complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER10 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER2 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER3 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER50 complaint!
INFO:root:结束时间:2016-08-03 14:40:01
INFO:root:开始时间:2016-08-11 18:26:40
INFO:root:delete complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS6 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS7 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS8 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS9 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS10 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS2 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS3 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS50 complaint!
INFO:root:GIS_ZNGH_POINTS complaint!
INFO:root:GIS_ZNGH_SF_BUILDING_REGION complaint!
INFO:root:GIS_ZNGH_SF_POINTS complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER10 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER2 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER3 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER50 complaint!
INFO:root:结束时间:2016-08-11 18:32:31
INFO:root:开始时间:2016-08-12 15:00:49
INFO:root:delete complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS6 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS7 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS8 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS9 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS10 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS2 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS3 complaint!
INFO:root:GIS_COVER_GRIDS_SELECT_ANALYSIS50 complaint!
INFO:root:GIS_ZNGH_POINTS complaint!
INFO:root:GIS_ZNGH_SF_BUILDING_REGION complaint!
INFO:root:GIS_ZNGH_SF_POINTS complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER10 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER2 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER3 complaint!
INFO:root:GIS_ZNGH_WEAKCOVER_CLUSTER50 complaint!
INFO:root:结束时间:2016-08-12 15:07:03
INFO:root:开始时间:2016-08-24 11:50:40
INFO:root:delete complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS6 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS7 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS8 complaint!
INFO:root:FUJIANBUILDINGREGION_XM_DISS9 complaint!
